slug,segment,status,listing_date,stored_issue_size,cap,repair_rupees,repair_cr,id
nirbhay-colours-india-ltd,MAINBOARD,CLOSED,,14797000.00,10,147970000.00,14.80,c43e88b7-3855-4a41-ac80-7fcb66a2f7da
induss-food-products-and-equipments-ltd,MAINBOARD,CLOSED,,120763200.00,534,64487548800.00,6448.75,20e427a7-f187-4d6b-bb21-6fefec56779a
piyush-ltd,MAINBOARD,CLOSED,,7007320.00,668,4680889760.00,468.09,44e025ba-80b4-42e5-bfa6-4481718140f7
banganga-paper-industries-ltd,MAINBOARD,CLOSED,,133025551.00,1,133025551.00,13.30,cbc1e643-f0bc-4400-b311-ac26831522f3
sanmitra-commercial-ltd,MAINBOARD,CLOSED,,224640000.00,15,3369600000.00,336.96,4c1c13c3-bbad-4b0b-9545-b51211d25e71
purple-style-labs-ltd-pernia-s-pop-up-studio-ipo,MAINBOARD,CLOSED,2026-09-07,12454212.00,575,7161171900.00,716.12,bb14f2f5-a5e5-48df-87db-cd1a4a658269
priority-jewels-ltd,MAINBOARD,LISTED,2026-09-04,4575000.00,200,915000000.00,91.50,49776d7a-5d58-463a-9409-d13ef93b0a3a
esds-software-solution-ltd,MAINBOARD,LISTED,2026-09-04,17647058.00,429,7570587882.00,757.06,765193bc-b0b1-432b-a0d6-eabf0e9e898e
lumino-industries-ltd,MAINBOARD,LISTED,2026-09-03,89743588.00,82,7358974216.00,735.90,600f7d27-3700-4e53-92fe-357028ccd4fd
annu-projects-ltd,MAINBOARD,LISTED,2026-09-02,17683000.00,99,1750617000.00,175.06,34682fe0-b6ac-4d55-81e1-c0f57f8765b2
e-to-e-transportation-infrastructure-ltd,SME,LISTED,2026-01-02,4840000.00,174,842160000.00,84.22,9c4a474e-6ed3-4e26-a36b-fd49c94afb13
dhara-rail-projects-ltd,SME,LISTED,2025-12-31,3984000.00,126,501984000.00,50.20,6d755ecf-f636-4ab3-9d2f-38914a9242e4
sundrex-oil-company-ltd,SME,LISTED,2025-12-30,3750400.00,86,322534400.00,32.25,b35fde41-f67a-4d48-8ed2-83c4e711a6a9
shyam-dhani-industries-ltd,SME,LISTED,2025-12-30,5498000.00,70,384860000.00,38.49,4339813a-04ee-4910-ab4e-09d2d0e8cc80
epw-india-ltd,SME,LISTED,2025-12-30,3279600.00,97,318121200.00,31.81,f3b69bbe-b22a-41b3-8505-f2a28fa18236
marc-technocrats-ltd,SME,LISTED,2025-12-24,4579200.00,93,425865600.00,42.59,502c75ed-1a4e-49ff-80b8-4b927b778141
icici-prudential-asset-management-company-ltd,MAINBOARD,LISTED,2025-12-19,48972994.00,2165,106026532010.00,10602.65,6e07f085-9107-465a-871f-0d0ae75a659b
exim-routes-ltd,SME,LISTED,2025-12-19,4969600.00,88,437324800.00,43.73,9f307847-9dae-454b-becf-98efdd5b3d63
ashwini-container-movers-ltd,SME,LISTED,2025-12-19,5000000.00,142,710000000.00,71.00,000f26bc-8b89-417c-b3ff-7a49e542eb64
encompass-design-india-ltd,SME,LISTED,2025-12-12,3758400.00,107,402148800.00,40.21,f2e4124d-4ea9-4870-9293-153c54fd29fa
flywings-simulator-training-centre-ltd,SME,LISTED,2025-12-12,2986800.00,191,570478800.00,57.05,f5e440e9-4525-4988-9c1c-a22936b9d8f4
shri-kanha-stainless-ltd,SME,LISTED,2025-12-10,5142400.00,90,462816000.00,46.28,98e6497e-b6d0-4940-b3f9-1a27db2be4f5
neochem-bio-solutions-ltd,SME,LISTED,2025-12-09,3285600.00,98,321988800.00,32.20,2a56c62a-3642-48cc-849a-f956eaa12f8d
stallion-india-fluorochemicals-ltd,MAINBOARD,LISTED,2025-01-23,43320000.00,90,3898800000.00,389.88,8ea90b3e-93eb-4747-9eb3-d68273ea1df3
windlas-biotech-ltd,MAINBOARD,LISTED,2021-08-16,470000000.00,460,216200000000.00,21620.00,1f75fec6-3379-4c90-b0aa-4822ca1c2f76
aaa-technologies-ltd,MAINBOARD,LISTED,2020-10-13,336831768.00,42,14146934256.00,1414.69,b5da17c1-547c-4f60-a49e-a07768800bf0
